800
CS471  Arnold, Hayley
CS395  Aiken, Roberto
CS395  Belur, Shirley
CS395  Finman, Richelle
CS395  Medapati, Boris
CS395  Mengert, Lemar
CS395  Mengert, Yolanda
CS395  Randolph, Darrah
CS395  Robertson, Min
CS395  Shi, Nichelle
CS395  Squyres, Kristen
CS395  Barcarse, Sonny
CS395  Fulmer, Jianqiu
CS395  Mohammad, Irhonda
CS395  Schuhmann, Surendar
CS395  Trimarchi, Deveda
CS395  Cushing, Glory-jane
CS395  Galligan, Ellen
CS395  Azarian, Joyce
CS395  Gaffos, Dapeng
CS395  Suoudi, Jacob
CS395  Lundblom, Mandi
CS395  Arnold, Hayley
CS450  Deloach, Vuong
CS450  Kholief, Catherine
CS250  Al-wazzan, Kelvin
CS250  Black, Adrienne
CS250  Daniels, Khalilah
CS250  Forbes, Dalia
CS250  Grantz, Son
CS250  Kaiser, Mary
CS250  Mahmuda, Fatemah
CS250  Swegan, Vincent
CS250  Upadhyay, Alexis
CS250  Yoon, Lakesha
CS450  Bergan, Lakesha
CS450  Smyth, Abolawole
CS252  Beidel, Lance
CS252  Blackmon, Markeese
CS252  Elmiligui, Moizhussain
CS252  Fernandez, Corrigan
CS252  Koch, Jr
CS252  Kuftic, Dean
CS252  Lawson, Timothy
CS252  Riddick, Tameishaon
CS450  Atherley, Justin
CS450  Bush, Jill
CS450  Sause, Rajiv
MATH121  Gao, Reno
MATH121  Marino, Chad
MATH122  Parker, Ahmad
CS450  Kinjarapu, Kevin
CS355  Dammalapati, Tameishaon
CS355  Hoffmann, Rachael
CS355  Ishfaq, Abdullah
CS355  Littrell, Teresa
CS355  Mason, Jenifer
CS355  Mcghee, Valentina
CS355  Miller, Crystal
CS355  Mills, Jinghua
CS355  Mitchell, Jeremiah
CS355  Poe, Angela
CS355  Porter, Aretha
CS355  Raines, Corrigan
CS355  Reasor, Hamid
CS355  Rollins, Amy
CS355  Rusak, Ricardo
CS355  Saddi, Deveda
CS355  Settar, Stacie
CS355  Shi, Nichelle
CS355  Sotomayor, Stacy
CS355  Barnes, Maria
CS355  Corton, Lawanda
CS355  Rocci, Gustavo
CS355  Shuniak, Tameishaon
CS355  Allison, Chen-chang
CS355  Balingit, Catherine
CS355  Bannon, Carlin
CS355  Candies, Iman
CS355  Fei, Tawana
CS355  Gary, Anthony
CS355  Legg, Lakesha
CS355  Mack, Lakesha
CS355  Reyes, Gustavo
CS355  Sause, Rajiv
CS355  Sullivan, Dennison
CS355  Ward, Alisa
CS355  Yoder, Gustavo
CS355  Bryant, Natasha
CS355  Cai, Candaice
CS355  Irintchev, Adel
CS355  Kidd, Ahmad
CS355  Mccormack, Christin
CS355  Li, Lawson
CS355  Minor, Glenn
CS355  Angeles, Eric
CS361  Bostic, Kishore
CS361  Carter, Amanda
CS361  Cuckov, La'kia
CS361  Dais, Roland
CS361  Gerard, Taylor
CS361  Gilbert, Malvin
CS361  Gopal, Jillian
CS361  Herbert, Nhu
CS361  Hodgson, Dorae
CS361  Koulermou, Amee
CS361  Littrell, Teresa
CS361  Luster, Chunhong
CS361  Mahmuda, Fatemah
CS361  Mills, Adrian
CS361  Paysinger, Raj
CS361  Pittman, Ii
CS361  Pogue, Andrey
CS361  Pogue, Brahmadatt
CS361  Ryland, Narong
CS361  Seyoum, Xkoshan
CS361  Swegan, Vincent
CS361  Vangala, Jaysen
CS361  Lopez, Tariq
CS361  Mohammad, Irhonda
CS361  Rocci, Gustavo
CS361  Yayla, Akia
CS361  Engstrand, Tameishaon
CS361  Komna, Trelane
CS361  Azarian, Joyce
CS361  Wu, Deana
CS417  Beasley, Ruth
CS417  Campbell, Daqing
CS417  Carter, Amanda
CS417  Cornelison, Vladimir
CS417  Cornetski, Haiyan
CS417  Dais, Roland
CS417  Deloach, Vuong
CS417  Jank, Edmundo
CS417  Kholief, Catherine
CS417  Kidd, Ahmad
CS417  Lester, Angela
CS417  Mengert, Lemar
CS417  Mengert, Yolanda
CS417  Mills, Jinghua
CS417  Rashid, Temarie
CS417  Robertson, Min
CS417  Rusak, Ricardo
CS417  Settar, Stacie
CS417  Stamaria, Koura
CS417  Corton, Lawanda
CS417  Tuason, Dagim
CS417  Bannon, Carlin
CS417  Britt, Vivek
CS417  Bueno, Juanita
CS417  Faison, Gustavo
CS417  Simpkins, Chata
CS417  Whitt, Sonny
CS417  Koh, Nehemiah
CS417  Arnold, Hayley
CS451  Askew, Tariq
CS451  Gibbs, Ilya
CS451  Han, Endia
CS451  Hoilman, Glen
CS451  Lowery, Ricardo
CS451  Mason, Jenifer
CS451  Mcvicker, Gustavo
CS451  Stancill, Dennison
CS451  Wright, Cruz
MATH242  Gerard, Taylor
MATH242  Harrell, Mathew
MATH242  Lawson, Timothy
MATH242  Marino, Chad
MATH242  Teachey, Tyrone
MATH242  Yayla, Akia
CS451  Corton, Lawanda
CS451  Jung, Andre
MATH246  Mccurdy, Emechete
MATH246  Pogue, Rico
MATH246  Robison, Tawana
MATH247  Althouse, Andrey
CS410  Adapala, Renate
CS410  Atherley, Justin
CS410  Bannon, Carlin
CS410  Campbell, Daqing
CS410  Caplinger, Tawana
CS410  Greco, Philip
CS410  Mack, Lakesha
CS410  Melkonian, Xiaobing
CS410  Simcoe, Timeka
CS410  Simpkins, Chata
CS410  Ward, Alisa
CS410  Whitt, Sonny
CS410  Yoder, Gustavo
CS410  Adapala, Renate
CS410  Atherley, Justin
CS410  Bannon, Carlin
CS410  Campbell, Daqing
CS410  Caplinger, Tawana
CS410  Greco, Philip
CS410  Mack, Lakesha
CS410  Melkonian, Xiaobing
CS410  Simcoe, Timeka
CS410  Simpkins, Chata
CS410  Ward, Alisa
CS410  Whitt, Sonny
CS410  Yoder, Gustavo
CS455  Barnes, Maria
CS455  Crawford, Amy
CS455  Dixon, Gustavo
CS455  Ellis, Arthur
CS455  Hoilman, Glen
CS455  Kholief, Catherine
CS455  Lawson, Judy
CS455  Marr, Darice
